a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
affaire = { afféle főnév    kínos eset cselekedet viselkedés amely általános erkölcs felháborodik megütközik kínos feltűnés megbotránkozik kelt másod soave szóbeszéd ad alkalmatlan igazgató iroda történelem afféle miatt elbocsát a titkár } 
affaire dna = {  kiejt afféle damak } 
affaire dna = {  kiejt afféle donald } 
affaire dna coelibatus = {  kiejt afféle dna köb } 
affajta = {  } 
affecta = {  kényeskedik finomkodik az affektáció messzebbi elkerül a fiú } 
affectatio = {    mesterkélt tetszeleg } 
affectio = {  érzés hajlandó indulati baalam gyullad } 
affectus = {  érzeleg felhevül iduna } 
affectál = {  szenved tetszeleg tesz magában } 
affectált = {  mesterkélt színlel } 
affekció = {  érzés hajlandó indulati baalam gyullad } 
affekta = {  kényeskedik finomkodik az affektáció messzebbi elkerül a fiú } 
affektus = {  érzeleg felhevül iduna } 
affektáció = {    mesterkélt tetszeleg } 
affektál = {  szenved tetszeleg tesz magában } 
affektált = {  mesterkélt színlel } 
affektálás = {  } 
affektív = {  } 
affelé = { afelé határozó  a jelzálog körülményesség közé mutat változás jelez egalizál mutat személy dolog közel helyzet idő jelez } 
affelől = { afelől névmutató határozó    a közöl tárgyrag a később említ téma } 
afferens = {  } 
affettuosissimo = {  nagyobb erős érzés } 
affettuoso = {  érzés } 
affiche = {  hirdet plakard } 
afficheur = {  } 
affichíroz = {  kiragad kifürkész plakát hírügynökség ad } 
afficiál = {    befolyásoló meghagy } 
affiliál = {  fölvállal fogadalom valamivel valamelyes renaissance tag } 
affinitas = { affinitas főnév    egymás közel állás személyes élőlény közötte hasonló tulajdonság vonzalom alapuló kapcsolat rokonszenves fiatalasszony pá kapcsolat az elsajátít találkozás alatta kialakul affinitás kezdet megerősödik } 
affinitás = { affinitás főnév    egymás közel állás személyes élőlény közötte hasonló tulajdonság vonzalom alapuló kapcsolat rokonszenves fiatalasszony pá kapcsolat az elsajátít találkozás alatta kialakul affinitás kezdet megerősödik } 
affirmatio = {  bizonyít állítás } 
affirmative = {  igenlés megerősít } 
affirmatív = {  igenlés megerősít } 
affirmáció = {  bizonyít állítás } 
affirmál = {  erősítget bizonyít } 
affixum = {  ra } 
afflavit deutérium e-mail dissidens sunda-bunda = {  } 
afflavit deutérium e-mail = {  isten rája fú é ő széjjel } 
afflictio = {  levert } 
affligál = {  leve lenyom kedély hangulat } 
afflitto = {  bánatos } 
affrettando = {  siet siettet } 
affrettoso = {  siet siettet } 
affreuse = {    borzaszt szörny } 
affrikáta = {    zönge hang } 
affront = {  sért megbánt gyaláz } 
affábilis = {  előzék barátságos közlés } 
afféle = { afféle névmutató melléknév    abból a fajta való olyan-amilyen tulajdonság jellemző rendelkezhető mina a jelzálog személy vag dolog egyik lánc éppennyi afféle mina a másik } 
affér = { affér főnév    kínos eset cselekedet viselkedés amely általános erkölcs felháborodik megütközik kínos feltűnés megbotránkozik kelt másod soave szóbeszéd ad alkalmatlan igazgató iroda történelem affér miatt elbocsát a titkár } 
afganisztán = {  } 
afgán = {  } 
afis = {  hirdet plakát } 
afisíroz = {  kiragad kifürkész plakát hírügynökség ad } 
aforisztikus = {  töredék rendszertan beszédalak gondolat talál lényeg törő szellemek velő } 
aforizma = {  lényeg törő mond amely életbölcs erkölcs igazságos elmélet gondolat fogalmazvány me } 
afrik = {  töltő amely tenger fű növény rostok készül é amit kárpitoz bútorozott párnáz matrac töltés használ kárpitoz a régi bútorozott felújít afrik több a szék ülőkalauz huzat al } 
afrika = { afrika főnév  európa dél es földréteg amely a harmadik leg terület é másodiknak leg népesség } 
afrikaans = { afrikánsz melléknév    dél-amerika fehérbarát telepedik személy csoportnyelv aki őselem főlovászmester hollandia é nyugat-szahara vándorol be az országbeli afrikánsz emberedik sokáig dél-amerika elit tartozik } 
afrikai = { afrikai melléknév    európa dél es földrész tartozó helesfa vele kapcsolat dolog ot él személy élőlény afrikai emberedik melegszik é vendégszerető } 
afrikander = {  dél-amerika születik fehérbarát ember } 
afrikanista = {  } 
afrikánsz = { afrikánsz melléknév    dél-amerika fehérbarát telepedik személy csoportnyelv aki őselem főlovászmester hollandia é nyugat-szahara vándorol be az országbeli afrikánsz emberedik sokáig dél-amerika elit tartozik } 
afrique = {  töltő amely tenger fű növény rostok készül é amit kárpitoz bútorozott párnáz matrac töltés használ kárpitoz a régi bútorozott felújít afrik több a szék ülőkalauz huzat al } 
afro = { afro melléknév előtag kapcsolat afrikai afrika é } 
afrodité = {  } 
afroázsiai = { afroázsiai melléknév  afrikánsz é ázsia kapcsolat ahhogy tartozó onnét ered arra jellemző afroázsiai terület főlovászmester észak-északkelet é arámi terjedelem ko } 
afta = {    elferdít sejtplazma főlovászmester a szájüreg ami főlovászmester tisztátlan tartás é fertőtlenít gyógyíthatatlan } 
afázia = {  orvos beszéd amit nebich a száj é a beszéd szerver rendellenesség okoz } 
afélium = {  naptár amiként a nato a földtan vag valamelyes égi a legteteje van } 
afölött = {    a közöl oszlopozott következtében kisgyermek afelett szomorkodik hogyan eltördel a játék } 
ag = { -ag -eg -tag -teg melléknév említ dolog hajlam azzá jellemez } 
aga = {    történelem a hadtest vezető főtisztelendő az oszlopozott birodalmi nagyacsád terjeszkedés idejétmúlt  –  század } 
agaceria = {    enyelgő ingerkedik évődik } 
agacéria = {    enyelgő ingerkedik évődik } 
agancs = { agancs főnév    többféle ágaz szar a  szarvas homlok kinövés csontszcintigráfia tömöntvény-lemez évenkénti megújul ága-boga kinövés amit támad vag védekezik fegyverképes használ vetélytárs é a ragadozó ellen agancs abban különbözet a teher szarv hogyan az utóbb üreg nincsen mellékág nebich huligán l'hombre ős é nebich icd nő ko újrahasznosít mina az agancs } 
agancsnyelű = {  } 
agancsos = {  } 
agant provocatio = {  } 
agape = {  az elsajátít keresztény úgy szeretet } 
agapion = {  } 
agapé = {    keresztény felebarát szeretet } 
agarász = {  kutyatej személy aki agarász tenyészbika vag tart illet azon verseny vag vadász nyúl rókás agarász gondoskodás kutyálkodik mozgás kielégít } 
agarászik = {    lóhát vadász gyorsabbodik futás vadászkutya agarász főlovászmester nyúl rókás vidék él nemes szíves agarász } 
agathirsok = {  } 
agatirszek = {  } 
agaton = {  } 
agavé = {  tövis növény illet növénynem tövis húsol leveledzik van } 
age quodlibet agiatamente = {  kiejt ág kvodlibet ági } 
agenda = { agenda ágens főnév    tennen lista napa teendő feljegyzés használt könyvel vag füzes } 
agenesia = {  } 
agenor = {  } 
agens = {    változás okozó er tényező amely képed egalizál fordulatos vag egalizál úgy állapot kivált időjárás ágens a légnyomás csökkenés } 
agent = {  kiejt azsiotázs } 
agent dna changeíroz = {  } 
agent provocatio = {  csalogat rendőr felbérel bujtogat  } 
agentura = {  ügynökség } 
agentúra = {  ügynökség } 
agg = { agg ig  tájszólás kiterjedés tömött tesz térfogat összezsugorodik sűrű tesz összetöpörödik gazda túró agg a frisiroz aludttej } 
aggastyán = { aggastyán főnév    beteges öre ember az időtartam é betegség megtört roskad vénember fal pap egalizál remeg térd aggastyán volant } 
aggaszt = { aggaszt ig    átvillan értelem gondol okoz a figyelmes egalizál fenyeget veszélyes problémás vag megoldható helyzet rögzít é emide rossz hangulat eredményez cég aggaszt az adózás változás } 
aggasztó = { aggasztó melléknév    aggodalmas okozó a figyelmes egalizál fenyeget veszélyes problémás vag megoldható helyzet rögzít é emide rossz hangulat eredményez csatlakozik után aggasztó változás tapasztalt a gazdaság } 
aggat = { aggat ig  több minden ráf egyes-egyedül magasan helyre lóg több hasonló dolgos nagypall karácsonyfadísz aggat a fárad } 
aggaték = {  } 
aggatódzik = {    beakaszt } 
aggeus = {  } 
aggiustamente = {  kiejt adzik } 
aggkor = {  } 
agglegény = { agglegény főnév    nőtestvér idő férfias aki korábbi mécs sohase házasodik me } 
agglomeratio = {    fölheccel összes } 
agglomeratív = {  } 
agglomeráció = {    fölheccel összes } 
agglomerál = {  fölheccel } 
agglutinatio = {    illeszkedik kégli falangista közötte tökéletesedik az agglutinál } 
agglutináció = {    illeszkedik kégli falangista közötte tökéletesedik az agglutináció } 
agglutinál = {  hozzákap illeszkedik } 
agglutináló = {  agglutináló nyelv toldalék fejez ko a jelentés módosulat } 
aggodalmas = {    tartós szorong személy akindzsi bizonytalanság van a jövő kapcsolat é tartós félelmes lelkendezik gyötrődik érez aggodalmas vállalat dolgozó félnederes az elbocsátás } 
aggodalmaskodik = {    tartós szorong félelmes tel bizonytalanság kétséges van gyakrabb felesleges minden oszlopozott nélkül aggodalmaskodik hanemha vág bele az újságol egyik cél hogyan az olvasó aggodalmaskodik amiként a cikkely olvas } 
aggodalom = { aggodalom főnév  tartós szorong a jövő bizonytalanság miatt folyamatos lelkendezik gyötrődik félelmes é rágódik egalizál fenyeget veszélyes problémás vag megoldható helyzet miatt vállalat dolgozó élet megnehezít az aggodalom hogyan lesz új-zéland elbocsátás } 
aggott = {  } 
aggravál = {  súlyosbodik nehezedik } 
aggraváló = {  súlyosbít } 
aggregatum = {  különbözet részecske halmaz } 
aggregatív = {  öszekapkod cs } 
aggregál = {  összegyűlik csoportos } 
aggregát = {  több tagbaszakadt összekapcsol gépel } 
aggregátor = {    kisebb-nagyobb áramforrás gép benzin motor működik aggregátor } 
aggregátum = {  különbözet részecske halmaz } 
aggressio = {    háborgat megkezdés támadáspont indít egalizál ellenség tekintet ország ellen megrohan ország ellen agresszivitás hossz évenkénti elhúzódik háború vált } 
aggressiv = {    kihívó támad személy aki erőszakol fellép összetűz verekedés gerjed kötekedik agresszivitás miniszterelnök megfenyeget az ellenzék } 
aggressivio = {  } 
aggszűz = {  } 
aggság = { aggság főnév    nagyobb öre ko idő kora szokatlan régi időköz származik állapot elavult elhasználódik } 
aggtelek = {  községbeli borsodgeszt megyés 600 lakosság 20 -es adatol az edelény kistamási található miskolc 50 ko északnyugat } 
aggály = { aggály főnév    fennáll kétségbeesett aggódik bizonytalanság nebich teljesedik bizonyos bizalom é óvatos egalizál hibban megelőzés néma aggály a hírmondás elfogulatlan illető } 
aggályos = {    túlzott szorong személy aki lelki gyötrődik jelentékeny dolgos leva baalam veszélyes vag a hibban lehetőség miatt aggályos ember nebich bíz senki } 
aggályoskodik = {    kétséges van főképp erkölcs tekintetbevétel bizonytalanság van ember nebich aggályoskodik azon hogyan mos rosszabb tesz-vesz vag sealskin } 
aggódik = { aggódik ig    tartós lelki gyötrődik érez a jövő bizonytalanság miatt folyamatos fécesz é rágódik egalizál fenyeget veszélyes problémás vag megoldható helyzet ami emide rossz hangulat eredményez szorong } 
aggódott = {  tartós lelki gyötrődik szenved hossz szorong miatt megvisel } 
aggódás = { aggódás főnév  tartós szorong a jövő bizonytalanság miatt lelki gyötrelem félelmes é rágódik egalizál fenyeget veszélyes problémás vag megoldható helyzet miatt } 
aggódó = { aggódó melléknév  a jövő bizonytalanság miatt tartós szorongás érzeleg egalizál fenyeget veszélyes problémás vag megoldható helyzet miatt folyamatos fél é rágódik é emide rossz hangulat } 
aggófű = {  } 
aggóskodik = {  } 
agiatamente = {  kényelmes } 
agilis = { agilis melléknév    tett kés személy aki szerecsen szorgalmas dolgoz tevékenykedik dolgos szorgalmas serény agilis ember folyton-folyvást az néz hogyan mi tehet me } 
agilisság = {  mozgékony tett állapot } 
agilitas = {  mozgékony tett állapot } 
agio = {    egalizál személy dolog érték elismerés kijár vag kinyilvánít tisztelet maga érték megbecsülés személy látszat hogyan gazdálkodik személy nagyacsád az ázsió } 
agiotage = {  kiejt ázsiotőr } 
agioteur = {  aki az értékpapír ár spekuláció } 
agit ad = {  felballag okol vag alkalmanként ad felhatalmaz } 
agitatio = {    állásfoglalás tetterő buzdít szóbeli vag írás érvel vag érzelmes ösztön ráhat egalizál közösben vag egalizál személy meggyőz arra hogyan fogadjisten el vag teg me egalizál kívánatosabb dolgos bead aláírás agitáció segít a kezdeményez személy } 
agitato coadjutor agitatio = {  kiejt adzik ko adzik } 
agitator = {  buzdít szervezett } 
agitatoricus = {    bujtogat lázít } 
agitatorius = {  } 
agitatív = {  } 
agitáció = {    állásfoglalás tetterő buzdít szóbeli vag írás érvel vag érzelmes ösztön ráhat egalizál közösben vag egalizál személy meggyőz arra hogyan fogadjisten el vag teg me egalizál kívánatosabb dolgos bead aláírás agitáció segít a kezdeményez személy } 
